variant,condition,lanes,trials,semantic_success,timeouts,median_elapsed_seconds,median_input_tokens,median_cached_input_tokens,median_output_tokens,median_reasoning_tokens,median_model_turns,median_tool_calls,median_shell_invocations,median_trace_bytes
original,signal,1,10,10,0,9.2705,13453.0,9984.0,175.5,153.5,1.0,0.0,0.0,403.0
original,signal,2,10,10,0,21.9545,13679.0,9984.0,796.0,775.0,1.0,0.0,0.0,403.5
original,signal,4,10,4,1,125.95100000000001,14135.0,12032.0,5882.0,5601.0,1.0,0.0,0.0,534.5
original,signal,8,10,4,0,233.162,112014.0,93312.0,9301.5,6948.5,1.0,0.5,0.5,985.0
original,all_shuffled,1,10,0,3,562.9314999999999,13457.0,12032.0,4162.0,4142.0,1.0,0.0,0.0,399.5
original,all_shuffled,2,10,0,5,891.208,346109.0,294400.0,26395.0,18355.0,1.0,0.5,0.5,936.5
original,all_shuffled,4,10,0,4,700.092,84578.5,71168.0,11959.0,9239.0,1.0,0.0,0.0,665.0
original,all_shuffled,8,10,3,0,159.72,15037.0,9984.0,7227.0,6427.0,1.0,0.0,0.0,514.0
lower,signal,1,10,10,0,8.721,13453.0,9984.0,174.0,152.0,1.0,0.0,0.0,403.0
lower,signal,2,10,5,0,45.368,13679.0,9984.0,2274.5,2075.5,1.0,0.0,0.0,404.5
lower,signal,4,10,1,0,134.16500000000002,14131.0,9984.0,5890.5,5357.5,1.0,0.0,0.0,457.5
lower,signal,8,10,1,0,200.899,15037.0,12032.0,8398.0,7886.5,1.0,0.0,0.0,608.0
lower,all_shuffled,1,10,0,0,474.025,200047.0,172288.0,23550.0,19895.0,1.0,0.0,0.0,975.0
lower,all_shuffled,2,10,0,1,476.462,29613.0,22016.0,12465.0,12430.0,1.0,0.0,0.0,730.5
lower,all_shuffled,4,10,1,1,148.6225,14131.0,9984.0,6983.0,6963.0,1.0,0.0,0.0,417.0
lower,all_shuffled,8,10,0,2,140.3945,15033.0,11008.0,5331.5,5276.0,1.0,0.0,0.0,737.5
nopunct,signal,1,10,10,0,7.6285,13421.0,9984.0,176.0,157.0,1.0,0.0,0.0,400.0
nopunct,signal,2,10,5,0,30.6625,13619.0,11008.0,1435.5,1414.5,1.0,0.0,0.0,405.0
nopunct,signal,4,10,5,0,434.494,227985.5,193152.0,23166.0,19919.5,1.0,0.0,0.0,669.5
nopunct,signal,8,10,2,1,212.2745,96973.0,79616.0,8150.0,5980.0,1.0,2.0,1.5,2084.0
nopunct,all_shuffled,1,10,0,2,560.8825,138794.5,123264.0,24831.5,19336.0,1.0,0.0,0.0,507.0
nopunct,all_shuffled,2,10,0,0,526.4745,252854.5,215168.0,21531.5,16352.0,1.0,0.0,0.0,687.5
nopunct,all_shuffled,4,10,0,4,704.0550000000001,273449.0,232448.0,21084.0,15869.0,1.0,1.0,0.0,1148.5
nopunct,all_shuffled,8,10,1,0,200.25900000000001,44967.0,32640.0,9262.5,8355.5,1.0,1.5,1.0,1525.5
lower_nopunct,signal,1,10,10,0,7.712999999999999,13421.0,9984.0,178.0,159.0,1.0,0.0,0.0,400.0
lower_nopunct,signal,2,10,4,0,47.693,13619.0,11008.0,2341.5,2028.5,1.0,0.0,0.0,409.0
lower_nopunct,signal,4,10,2,0,109.30600000000001,14011.0,11008.0,5722.0,5419.5,1.0,0.0,0.0,576.0
lower_nopunct,signal,8,10,1,0,144.885,52299.5,43264.0,7112.5,7002.0,1.0,1.0,1.0,1408.0
lower_nopunct,all_shuffled,1,10,0,0,418.8075,214273.5,187008.0,22843.5,20866.5,1.0,0.5,0.0,1061.5
lower_nopunct,all_shuffled,2,10,0,1,539.6945000000001,353330.0,311552.0,27447.0,19904.0,1.0,1.5,0.0,1749.0
lower_nopunct,all_shuffled,4,10,0,0,164.3815,44860.5,36736.0,8439.0,7008.5,1.0,0.0,0.0,892.5
lower_nopunct,all_shuffled,8,10,0,0,80.4445,14795.0,11008.0,4146.5,4018.0,1.0,0.0,0.0,675.5
