condition,semantic_success,strategy,trials
signal,True,direct_one_pass_response,62
signal,True,explicit_fixed_stride_hypothesis,16
signal,True,explicit_recognition_of_shuffled_text,2
signal,True,explicit_testing_of_candidate_strides,2
signal,True,shell_or_tool_assisted_reconstruction,2
signal,False,apparent_lexical_reconstruction,1
signal,False,direct_one_pass_response,40
signal,False,explicit_fixed_stride_hypothesis,14
signal,False,explicit_recognition_of_shuffled_text,10
signal,False,shell_or_tool_assisted_reconstruction,11
all_shuffled,True,direct_one_pass_response,1
all_shuffled,True,explicit_fixed_stride_hypothesis,2
all_shuffled,True,explicit_testing_of_candidate_strides,2
all_shuffled,False,apparent_lexical_reconstruction,9
all_shuffled,False,direct_one_pass_response,50
all_shuffled,False,explicit_fixed_stride_hypothesis,30
all_shuffled,False,explicit_recognition_of_shuffled_text,24
all_shuffled,False,explicit_testing_of_candidate_strides,8
all_shuffled,False,shell_or_tool_assisted_reconstruction,34
