variant,condition,strategy,trials
original,signal,direct_one_pass_response,27
original,signal,explicit_fixed_stride_hypothesis,8
original,signal,explicit_recognition_of_shuffled_text,1
original,signal,explicit_testing_of_candidate_strides,2
original,signal,shell_or_tool_assisted_reconstruction,2
original,all_shuffled,apparent_lexical_reconstruction,4
original,all_shuffled,direct_one_pass_response,14
original,all_shuffled,explicit_fixed_stride_hypothesis,13
original,all_shuffled,explicit_recognition_of_shuffled_text,2
original,all_shuffled,explicit_testing_of_candidate_strides,4
original,all_shuffled,shell_or_tool_assisted_reconstruction,3
lower,signal,apparent_lexical_reconstruction,1
lower,signal,direct_one_pass_response,28
lower,signal,explicit_fixed_stride_hypothesis,6
lower,signal,explicit_recognition_of_shuffled_text,3
lower,signal,shell_or_tool_assisted_reconstruction,2
lower,all_shuffled,apparent_lexical_reconstruction,2
lower,all_shuffled,direct_one_pass_response,16
lower,all_shuffled,explicit_fixed_stride_hypothesis,5
lower,all_shuffled,explicit_recognition_of_shuffled_text,7
lower,all_shuffled,explicit_testing_of_candidate_strides,1
lower,all_shuffled,shell_or_tool_assisted_reconstruction,9
nopunct,signal,direct_one_pass_response,23
nopunct,signal,explicit_fixed_stride_hypothesis,9
nopunct,signal,explicit_recognition_of_shuffled_text,3
nopunct,signal,shell_or_tool_assisted_reconstruction,5
nopunct,all_shuffled,apparent_lexical_reconstruction,2
nopunct,all_shuffled,direct_one_pass_response,10
nopunct,all_shuffled,explicit_fixed_stride_hypothesis,11
nopunct,all_shuffled,explicit_recognition_of_shuffled_text,5
nopunct,all_shuffled,explicit_testing_of_candidate_strides,2
nopunct,all_shuffled,shell_or_tool_assisted_reconstruction,10
lower_nopunct,signal,direct_one_pass_response,24
lower_nopunct,signal,explicit_fixed_stride_hypothesis,7
lower_nopunct,signal,explicit_recognition_of_shuffled_text,5
lower_nopunct,signal,shell_or_tool_assisted_reconstruction,4
lower_nopunct,all_shuffled,apparent_lexical_reconstruction,1
lower_nopunct,all_shuffled,direct_one_pass_response,11
lower_nopunct,all_shuffled,explicit_fixed_stride_hypothesis,3
lower_nopunct,all_shuffled,explicit_recognition_of_shuffled_text,10
lower_nopunct,all_shuffled,explicit_testing_of_candidate_strides,3
lower_nopunct,all_shuffled,shell_or_tool_assisted_reconstruction,12
