variant,condition,lanes,trials,completed_responses,incomplete_turns,nonresponses,exact_success,exact_rate,semantic_success,semantic_rate,semantic_ci_low,semantic_ci_high,encoding_discovered,encoding_rate
original,signal,1,10,10,0,0,2,0.2,10,1.0,0.7224672001371107,0.9999999999999999,0,0.0
original,signal,2,10,10,0,0,6,0.6,10,1.0,0.7224672001371107,0.9999999999999999,0,0.0
original,signal,4,9,9,0,0,2,0.2222222222222222,4,0.4444444444444444,0.18877852109766452,0.733348706504507,0,0.0
original,signal,8,10,10,0,0,1,0.1,4,0.4,0.16818032970623614,0.6873262302663417,1,0.1
original,all_shuffled,1,7,7,0,0,0,0.0,0,0.0,5.551115123125783e-17,0.35433043506668743,0,0.0
original,all_shuffled,2,5,5,0,0,0,0.0,0,0.0,0.0,0.43448246478317476,1,0.2
original,all_shuffled,4,6,6,0,0,0,0.0,0,0.0,2.7755575615628914e-17,0.3903342879021653,2,0.3333333333333333
original,all_shuffled,8,10,10,0,0,3,0.3,3,0.3,0.10779126740630099,0.6032218525388546,0,0.0
lower,signal,1,10,10,0,0,1,0.1,10,1.0,0.7224672001371107,0.9999999999999999,0,0.0
lower,signal,2,10,10,0,0,4,0.4,5,0.5,0.236593090512564,0.7634069094874361,0,0.0
lower,signal,4,10,10,0,0,0,0.0,1,0.1,0.017876213095072896,0.4041500267952385,1,0.1
lower,signal,8,10,10,0,0,0,0.0,1,0.1,0.017876213095072896,0.4041500267952385,1,0.1
lower,all_shuffled,1,10,10,0,0,0,0.0,0,0.0,0.0,0.2775327998628892,2,0.2
lower,all_shuffled,2,9,9,0,0,0,0.0,0,0.0,0.0,0.2991450484195441,4,0.4444444444444444
lower,all_shuffled,4,9,9,0,0,0,0.0,1,0.1111111111111111,0.019890887638544907,0.434999705576656,1,0.1111111111111111
lower,all_shuffled,8,8,8,0,0,0,0.0,0,0.0,0.0,0.32440756488388023,3,0.375
nopunct,signal,1,10,10,0,0,0,0.0,10,1.0,0.7224672001371107,0.9999999999999999,0,0.0
nopunct,signal,2,10,10,0,0,1,0.1,5,0.5,0.236593090512564,0.7634069094874361,0,0.0
nopunct,signal,4,10,10,0,0,0,0.0,5,0.5,0.236593090512564,0.7634069094874361,0,0.0
nopunct,signal,8,9,9,0,0,1,0.1111111111111111,2,0.2222222222222222,0.06322510711784671,0.5474110308930111,4,0.4444444444444444
nopunct,all_shuffled,1,8,8,0,0,0,0.0,0,0.0,0.0,0.32440756488388023,0,0.0
nopunct,all_shuffled,2,10,10,0,0,0,0.0,0,0.0,0.0,0.2775327998628892,5,0.5
nopunct,all_shuffled,4,6,6,0,0,0,0.0,0,0.0,2.7755575615628914e-17,0.3903342879021653,3,0.5
nopunct,all_shuffled,8,10,10,0,0,1,0.1,1,0.1,0.017876213095072896,0.4041500267952385,8,0.8
lower_nopunct,signal,1,10,10,0,0,0,0.0,10,1.0,0.7224672001371107,0.9999999999999999,0,0.0
lower_nopunct,signal,2,10,10,0,0,0,0.0,4,0.4,0.16818032970623614,0.6873262302663417,0,0.0
lower_nopunct,signal,4,10,10,0,0,0,0.0,2,0.2,0.05668215145437519,0.5098375284633583,3,0.3
lower_nopunct,signal,8,10,10,0,0,0,0.0,1,0.1,0.017876213095072896,0.4041500267952385,6,0.6
lower_nopunct,all_shuffled,1,10,10,0,0,0,0.0,0,0.0,0.0,0.2775327998628892,1,0.1
lower_nopunct,all_shuffled,2,9,9,0,0,0,0.0,0,0.0,0.0,0.2991450484195441,6,0.6666666666666666
lower_nopunct,all_shuffled,4,10,10,0,0,0,0.0,0,0.0,0.0,0.2775327998628892,7,0.7
lower_nopunct,all_shuffled,8,10,10,0,0,0,0.0,0,0.0,0.0,0.2775327998628892,5,0.5
