variant,condition,lanes,trials,semantic_success,timeouts,median_elapsed_seconds,median_input_tokens,median_cached_input_tokens,median_output_tokens,median_reasoning_tokens,median_model_turns,median_tool_calls,median_shell_invocations,median_trace_bytes
original,signal,1,10,10,0,12.737,13112.0,9984.0,182.5,160.5,1.0,0.0,0.0,403.0
original,signal,2,10,8,0,36.0035,13338.0,9984.0,1091.5,1018.0,1.0,0.0,0.0,404.5
original,signal,4,10,1,5,839.816,13790.0,9984.0,14320.0,14301.0,1.0,0.0,0.0,391.0
original,signal,8,10,2,4,460.54,48707.0,34688.0,8033.5,7166.0,1.0,2.0,1.5,1915.0
original,all_shuffled,1,10,0,5,675.231,119175.0,95744.0,15559.0,14689.0,1.0,9.5,9.0,40035.0
original,all_shuffled,2,10,0,5,826.706,13546.0,9984.0,21074.0,20710.0,1.0,0.5,0.0,678.5
original,all_shuffled,4,10,0,3,708.441,212896.0,170240.0,20809.5,16491.5,1.0,0.0,0.0,718.0
original,all_shuffled,8,10,0,2,272.37350000000004,46955.0,33664.0,11237.5,10611.5,1.0,3.5,3.5,2755.0
lower,signal,1,10,10,0,11.7105,13112.0,9984.0,180.0,158.0,1.0,0.0,0.0,403.0
lower,signal,2,10,5,0,51.613,13338.5,9984.0,2119.0,1808.0,1.0,0.0,0.0,404.0
lower,signal,4,10,1,0,139.77300000000002,13790.0,9984.0,6521.0,6497.5,1.0,0.0,0.0,516.0
lower,signal,8,10,2,0,260.931,35325.0,22016.0,11204.5,9161.5,1.0,1.0,1.0,1256.0
lower,all_shuffled,1,10,1,0,49.328500000000005,13112.5,9984.0,2357.0,2331.0,1.0,0.0,0.0,430.0
lower,all_shuffled,2,10,0,3,682.0915,40515.0,22016.0,11041.0,10898.0,1.0,7.0,6.5,28449.5
lower,all_shuffled,4,10,0,3,173.9415,13790.0,9984.0,5237.0,5178.0,1.0,1.0,0.5,1049.0
lower,all_shuffled,8,10,0,1,257.70050000000003,35392.0,24064.0,9789.0,9643.0,1.0,1.5,1.5,1676.5
nopunct,signal,1,10,10,0,10.427,13082.0,9984.0,174.0,155.0,1.0,0.0,0.0,400.0
nopunct,signal,2,10,6,0,47.085499999999996,13278.5,11008.0,2021.5,1646.0,1.0,0.0,0.0,412.0
nopunct,signal,4,10,4,2,125.34649999999999,13670.0,12032.0,5396.5,5285.5,1.0,0.0,0.0,526.0
nopunct,signal,8,10,2,0,219.57250000000002,76904.5,60928.0,9986.0,7577.5,1.0,3.0,3.0,5039.5
nopunct,all_shuffled,1,10,1,2,724.0889999999999,618438.5,558848.0,32308.0,21641.5,1.0,18.0,18.0,69103.5
nopunct,all_shuffled,2,10,0,3,544.9435,324838.0,268544.0,15608.0,10905.0,1.0,12.0,11.0,73221.0
nopunct,all_shuffled,4,10,0,0,557.7015,383111.0,328192.0,27357.0,22261.5,1.0,1.0,0.5,1300.0
nopunct,all_shuffled,8,10,0,0,265.1995,133013.5,105984.0,13140.5,11953.5,1.0,3.5,3.5,5085.0
lower_nopunct,signal,1,10,10,0,9.435500000000001,13082.0,9984.0,178.0,159.0,1.0,0.0,0.0,400.0
lower_nopunct,signal,2,10,3,0,36.6485,13278.0,12032.0,1597.0,1575.5,1.0,0.0,0.0,404.0
lower_nopunct,signal,4,10,4,0,95.8725,13670.0,12032.0,4919.5,3710.5,1.0,0.0,0.0,710.0
lower_nopunct,signal,8,10,1,0,102.714,23451.5,14976.0,5303.5,5190.5,1.0,0.5,0.5,816.0
lower_nopunct,all_shuffled,1,10,0,0,427.7025,292224.0,248320.0,21567.5,17051.0,1.0,11.0,10.5,46168.5
lower_nopunct,all_shuffled,2,10,0,1,398.8205,254855.0,221696.0,17429.0,11886.0,1.0,2.5,2.5,11426.5
lower_nopunct,all_shuffled,4,10,0,1,135.1775,13671.0,9984.0,6331.0,5992.0,1.0,0.0,0.0,828.0
lower_nopunct,all_shuffled,8,10,0,1,82.58099999999999,31210.0,24064.0,3494.0,3355.0,1.0,1.0,1.0,1350.5
