variant,condition,lanes,paired_seeds,original_success,normalized_success,delta,bootstrap_ci_low,bootstrap_ci_high,original_only_pairs,normalized_only_pairs,mcnemar_exact_p
lower,signal,1,10,10,10,0,0.0,0.0,0,0,1.0
lower,signal,2,10,8,5,-0.3,-0.6,0.0,3,0,0.25
lower,signal,4,10,1,1,0,-0.3,0.3,1,1,1.0
lower,signal,8,10,2,2,0,-0.3,0.3,1,1,1.0
lower,all_shuffled,1,10,0,1,0.1,0.0,0.3,0,1,1.0
lower,all_shuffled,2,10,0,0,0,0.0,0.0,0,0,1.0
lower,all_shuffled,4,10,0,0,0,0.0,0.0,0,0,1.0
lower,all_shuffled,8,10,0,0,0,0.0,0.0,0,0,1.0
nopunct,signal,1,10,10,10,0,0.0,0.0,0,0,1.0
nopunct,signal,2,10,8,6,-0.2,-0.7,0.3,4,2,0.6875
nopunct,signal,4,10,1,4,0.3,0.0,0.6,0,3,0.25
nopunct,signal,8,10,2,2,0,-0.4,0.4,2,2,1.0
nopunct,all_shuffled,1,10,0,1,0.1,0.0,0.3,0,1,1.0
nopunct,all_shuffled,2,10,0,0,0,0.0,0.0,0,0,1.0
nopunct,all_shuffled,4,10,0,0,0,0.0,0.0,0,0,1.0
nopunct,all_shuffled,8,10,0,0,0,0.0,0.0,0,0,1.0
lower_nopunct,signal,1,10,10,10,0,0.0,0.0,0,0,1.0
lower_nopunct,signal,2,10,8,3,-0.5,-0.8,-0.2,5,0,0.0625
lower_nopunct,signal,4,10,1,4,0.3,-0.1,0.7,1,4,0.375
lower_nopunct,signal,8,10,2,1,-0.1,-0.4,0.2,2,1,1.0
lower_nopunct,all_shuffled,1,10,0,0,0,0.0,0.0,0,0,1.0
lower_nopunct,all_shuffled,2,10,0,0,0,0.0,0.0,0,0,1.0
lower_nopunct,all_shuffled,4,10,0,0,0,0.0,0.0,0,0,1.0
lower_nopunct,all_shuffled,8,10,0,0,0,0.0,0.0,0,0,1.0
