variant,condition,lanes,trials,completed_responses,incomplete_turns,nonresponses,exact_success,exact_rate,semantic_success,semantic_rate,semantic_ci_low,semantic_ci_high,encoding_discovered,encoding_rate
original,signal,1,10,10,0,0,1,0.1,10,1.0,0.7224672001371107,0.9999999999999999,0,0.0
original,signal,2,10,10,0,0,4,0.4,8,0.8,0.49016247153664183,0.9433178485456247,0,0.0
original,signal,4,5,5,0,0,0,0.0,2,0.4,0.11762077423264783,0.769275718723987,0,0.0
original,signal,8,6,6,0,0,2,0.3333333333333333,2,0.3333333333333333,0.09677141110578041,0.700006684861608,0,0.0
original,all_shuffled,1,5,5,0,0,0,0.0,0,0.0,0.0,0.43448246478317476,0,0.0
original,all_shuffled,2,5,5,0,0,0,0.0,0,0.0,0.0,0.43448246478317476,0,0.0
original,all_shuffled,4,7,7,0,0,0,0.0,0,0.0,5.551115123125783e-17,0.35433043506668743,2,0.2857142857142857
original,all_shuffled,8,8,8,0,0,0,0.0,0,0.0,0.0,0.32440756488388023,0,0.0
lower,signal,1,10,10,0,0,1,0.1,10,1.0,0.7224672001371107,0.9999999999999999,0,0.0
lower,signal,2,10,10,0,0,3,0.3,5,0.5,0.236593090512564,0.7634069094874361,0,0.0
lower,signal,4,10,10,0,0,0,0.0,1,0.1,0.017876213095072896,0.4041500267952385,0,0.0
lower,signal,8,10,10,0,0,1,0.1,2,0.2,0.05668215145437519,0.5098375284633583,2,0.2
lower,all_shuffled,1,10,10,0,0,0,0.0,1,0.1,0.017876213095072896,0.4041500267952385,0,0.0
lower,all_shuffled,2,7,7,0,0,0,0.0,0,0.0,5.551115123125783e-17,0.35433043506668743,3,0.42857142857142855
lower,all_shuffled,4,7,7,0,0,0,0.0,0,0.0,5.551115123125783e-17,0.35433043506668743,1,0.14285714285714285
lower,all_shuffled,8,9,9,0,0,0,0.0,0,0.0,0.0,0.2991450484195441,1,0.1111111111111111
nopunct,signal,1,10,10,0,0,0,0.0,10,1.0,0.7224672001371107,0.9999999999999999,0,0.0
nopunct,signal,2,10,10,0,0,0,0.0,6,0.6,0.31267376973365824,0.8318196702937638,0,0.0
nopunct,signal,4,8,8,0,0,0,0.0,4,0.5,0.21521606221387757,0.7847839377861224,0,0.0
nopunct,signal,8,10,10,0,0,0,0.0,2,0.2,0.05668215145437519,0.5098375284633583,4,0.4
nopunct,all_shuffled,1,8,8,0,0,1,0.125,1,0.125,0.02241749145005667,0.4708881822128535,0,0.0
nopunct,all_shuffled,2,7,7,0,0,0,0.0,0,0.0,5.551115123125783e-17,0.35433043506668743,6,0.8571428571428571
nopunct,all_shuffled,4,10,10,0,0,0,0.0,0,0.0,0.0,0.2775327998628892,4,0.4
nopunct,all_shuffled,8,10,10,0,0,0,0.0,0,0.0,0.0,0.2775327998628892,6,0.6
lower_nopunct,signal,1,10,10,0,0,0,0.0,10,1.0,0.7224672001371107,0.9999999999999999,0,0.0
lower_nopunct,signal,2,10,10,0,0,0,0.0,3,0.3,0.10779126740630099,0.6032218525388546,0,0.0
lower_nopunct,signal,4,10,10,0,0,0,0.0,4,0.4,0.16818032970623614,0.6873262302663417,4,0.4
lower_nopunct,signal,8,10,10,0,0,0,0.0,1,0.1,0.017876213095072896,0.4041500267952385,8,0.8
lower_nopunct,all_shuffled,1,10,10,0,0,0,0.0,0,0.0,0.0,0.2775327998628892,2,0.2
lower_nopunct,all_shuffled,2,9,9,0,0,0,0.0,0,0.0,0.0,0.2991450484195441,8,0.8888888888888888
lower_nopunct,all_shuffled,4,9,9,0,0,0,0.0,0,0.0,0.0,0.2991450484195441,2,0.2222222222222222
lower_nopunct,all_shuffled,8,9,9,0,0,0,0.0,0,0.0,0.0,0.2991450484195441,6,0.6666666666666666
