variant,condition,lanes,trials,completed_responses,incomplete_turns,nonresponses,exact_success,exact_rate,semantic_success,semantic_rate,semantic_ci_low,semantic_ci_high,encoding_discovered,encoding_rate
original,signal,1,10,10,0,0,1,0.1,10,1.0,0.7224672001371107,0.9999999999999999,0,0.0
original,signal,2,10,10,0,0,4,0.4,8,0.8,0.49016247153664183,0.9433178485456247,0,0.0
original,signal,4,10,5,5,0,0,0.0,1,0.1,0.017876213095072896,0.4041500267952385,5,0.5
original,signal,8,10,6,4,0,2,0.2,2,0.2,0.05668215145437519,0.5098375284633583,4,0.4
original,all_shuffled,1,10,5,5,1,0,0.0,0,0.0,0.0,0.2775327998628892,2,0.2
original,all_shuffled,2,10,5,5,0,0,0.0,0,0.0,0.0,0.2775327998628892,4,0.4
original,all_shuffled,4,10,7,3,0,0,0.0,0,0.0,0.0,0.2775327998628892,4,0.4
original,all_shuffled,8,10,8,2,0,0,0.0,0,0.0,0.0,0.2775327998628892,2,0.2
lower,signal,1,10,10,0,0,1,0.1,10,1.0,0.7224672001371107,0.9999999999999999,0,0.0
lower,signal,2,10,10,0,0,3,0.3,5,0.5,0.236593090512564,0.7634069094874361,0,0.0
lower,signal,4,10,10,0,0,0,0.0,1,0.1,0.017876213095072896,0.4041500267952385,0,0.0
lower,signal,8,10,10,0,0,1,0.1,2,0.2,0.05668215145437519,0.5098375284633583,1,0.1
lower,all_shuffled,1,10,10,0,0,0,0.0,1,0.1,0.017876213095072896,0.4041500267952385,0,0.0
lower,all_shuffled,2,10,7,3,0,0,0.0,0,0.0,0.0,0.2775327998628892,6,0.6
lower,all_shuffled,4,10,7,3,0,0,0.0,0,0.0,0.0,0.2775327998628892,4,0.4
lower,all_shuffled,8,10,9,1,0,0,0.0,0,0.0,0.0,0.2775327998628892,2,0.2
nopunct,signal,1,10,10,0,0,0,0.0,10,1.0,0.7224672001371107,0.9999999999999999,0,0.0
nopunct,signal,2,10,10,0,0,0,0.0,6,0.6,0.31267376973365824,0.8318196702937638,0,0.0
nopunct,signal,4,10,8,2,0,0,0.0,4,0.4,0.16818032970623614,0.6873262302663417,2,0.2
nopunct,signal,8,10,10,0,0,0,0.0,2,0.2,0.05668215145437519,0.5098375284633583,4,0.4
nopunct,all_shuffled,1,10,8,2,0,1,0.1,1,0.1,0.017876213095072896,0.4041500267952385,2,0.2
nopunct,all_shuffled,2,10,7,3,0,0,0.0,0,0.0,0.0,0.2775327998628892,9,0.9
nopunct,all_shuffled,4,10,10,0,0,0,0.0,0,0.0,0.0,0.2775327998628892,4,0.4
nopunct,all_shuffled,8,10,10,0,0,0,0.0,0,0.0,0.0,0.2775327998628892,6,0.6
lower_nopunct,signal,1,10,10,0,0,0,0.0,10,1.0,0.7224672001371107,0.9999999999999999,0,0.0
lower_nopunct,signal,2,10,10,0,0,0,0.0,3,0.3,0.10779126740630099,0.6032218525388546,0,0.0
lower_nopunct,signal,4,10,10,0,0,0,0.0,4,0.4,0.16818032970623614,0.6873262302663417,4,0.4
lower_nopunct,signal,8,10,10,0,0,0,0.0,1,0.1,0.017876213095072896,0.4041500267952385,8,0.8
lower_nopunct,all_shuffled,1,10,10,0,0,0,0.0,0,0.0,0.0,0.2775327998628892,2,0.2
lower_nopunct,all_shuffled,2,10,9,1,0,0,0.0,0,0.0,0.0,0.2775327998628892,8,0.8
lower_nopunct,all_shuffled,4,10,9,1,0,0,0.0,0,0.0,0.0,0.2775327998628892,3,0.3
lower_nopunct,all_shuffled,8,10,9,1,0,0,0.0,0,0.0,0.0,0.2775327998628892,7,0.7
