cohort,model,reasoning,carrier,individual_success,individual_trials,individual_rate,individual_ci_low,individual_ci_high,paired_success,pairs,paired_rate,paired_ci_low,paired_ci_high,counterpart_answer_errors,timeouts,tool_using_trials,median_elapsed_seconds,median_reasoning_tokens
screening,gpt-5.6-sol,medium,fixed,11,20,0.55,0.34208534245034233,0.7418021417443759,4,10,0.4,0.16818032970623614,0.6873262302663417,0,0,0,24.0285,796.5
screening,gpt-5.6-sol,medium,jitter,16,20,0.8,0.5839825677481064,0.919342337420202,6,10,0.6,0.31267376973365824,0.8318196702937638,1,0,0,17.762500000000003,471.5
confirmation,gpt-5.6-sol,medium,fixed,14,20,0.7,0.4810271816464765,0.8545227551323956,6,10,0.6,0.31267376973365824,0.8318196702937638,1,0,3,18.488,556.0
confirmation,gpt-5.6-sol,medium,jitter,14,20,0.7,0.4810271816464765,0.8545227551323956,6,10,0.6,0.31267376973365824,0.8318196702937638,0,0,0,16.153,429.5
cumulative,gpt-5.6-sol,medium,fixed,25,40,0.625,0.47032439137301096,0.7577702083276673,10,20,0.5,0.2992980081982123,0.7007019918017877,1,0,3,20.8955,633.0
cumulative,gpt-5.6-sol,medium,jitter,30,40,0.75,0.5980603857923197,0.858128813609037,12,20,0.6,0.3865815007622531,0.781193467627183,1,0,0,17.110500000000002,443.5
screening,gpt-5.6-terra,xhigh,fixed,6,20,0.3,0.1454772448676043,0.5189728183535235,0,10,0.0,0.0,0.2775327998628892,2,0,0,39.483000000000004,1737.0
screening,gpt-5.6-terra,xhigh,jitter,10,20,0.5,0.2992980081982123,0.7007019918017877,3,10,0.3,0.10779126740630099,0.6032218525388546,0,0,0,32.5205,1465.5
confirmation,gpt-5.6-terra,xhigh,fixed,7,20,0.35,0.18119182410108206,0.5671457233147638,2,10,0.2,0.05668215145437519,0.5098375284633583,0,0,1,51.193,2330.0
confirmation,gpt-5.6-terra,xhigh,jitter,9,20,0.45,0.2581978582556243,0.6579146575496577,3,10,0.3,0.10779126740630099,0.6032218525388546,1,0,0,32.8395,1479.5
cumulative,gpt-5.6-terra,xhigh,fixed,13,40,0.325,0.200845022317827,0.47982253810122333,2,20,0.1,0.027866481213768224,0.3010336452284873,2,0,1,44.068,1910.5
cumulative,gpt-5.6-terra,xhigh,jitter,19,40,0.475,0.329354701126789,0.6250263789330753,6,20,0.3,0.1454772448676043,0.5189728183535235,1,0,0,32.726,1479.5
screening,gpt-5.3-codex-spark,xhigh,fixed,0,20,0.0,0.0,0.16112515805281938,0,10,0.0,0.0,0.2775327998628892,0,0,3,12.343,6342.5
screening,gpt-5.3-codex-spark,xhigh,jitter,1,20,0.05,0.008881448800795402,0.23613119344674205,0,10,0.0,0.0,0.2775327998628892,0,0,12,23.7325,14118.5
confirmation,gpt-5.3-codex-spark,xhigh,fixed,0,20,0.0,0.0,0.16112515805281938,0,10,0.0,0.0,0.2775327998628892,0,0,6,14.914,7310.5
confirmation,gpt-5.3-codex-spark,xhigh,jitter,0,20,0.0,0.0,0.16112515805281938,0,10,0.0,0.0,0.2775327998628892,0,0,11,27.853499999999997,13980.0
cumulative,gpt-5.3-codex-spark,xhigh,fixed,0,40,0.0,0.0,0.08762160119728664,0,20,0.0,0.0,0.16112515805281938,0,0,9,13.866499999999998,6906.0
cumulative,gpt-5.3-codex-spark,xhigh,jitter,1,40,0.025,0.0044268315026814095,0.1288136896347409,0,20,0.0,0.0,0.16112515805281938,0,0,23,24.6425,14118.5
