model,reasoning,carrier,trials,semantic_successes,timeouts,tool_using_trials,tool_use_rate,median_elapsed_seconds,median_input_tokens,median_cached_input_tokens,median_output_tokens,median_reasoning_tokens,median_model_turns,median_tool_calls,median_shell_calls,median_trace_bytes
gpt-5.3-codex-spark,high,all-shuffled,3,0,0,0,0.0,8.348,10553.0,10112.0,3231.0,3109.0,1.0,0.0,0.0,924.0
gpt-5.3-codex-spark,high,fixed,20,0,0,2,0.1,10.927,10553.0,10112.0,5044.5,4897.0,1.0,0.0,0.0,927.0
gpt-5.3-codex-spark,high,jitter,20,0,0,10,0.5,20.1515,14989.0,10112.0,12714.5,12621.0,1.0,0.5,0.0,1232.5
gpt-5.3-codex-spark,medium,all-shuffled,3,0,0,0,0.0,6.817,10553.0,10112.0,1839.0,1685.0,1.0,0.0,0.0,879.0
gpt-5.3-codex-spark,medium,fixed,20,0,0,3,0.15,9.414,10553.0,10112.0,3471.5,3331.0,1.0,0.0,0.0,919.0
gpt-5.3-codex-spark,medium,jitter,20,0,0,6,0.3,12.133500000000002,10553.0,10112.0,6177.0,6048.5,1.0,0.0,0.0,867.0
gpt-5.3-codex-spark,xhigh,all-shuffled,3,0,0,0,0.0,10.359,10553.0,10112.0,2048.0,1928.0,1.0,0.0,0.0,1026.0
gpt-5.3-codex-spark,xhigh,fixed,20,0,0,3,0.15,12.343,10553.0,10112.0,6468.0,6342.5,1.0,0.0,0.0,909.5
gpt-5.3-codex-spark,xhigh,jitter,20,1,0,12,0.6,23.7325,21187.0,10112.0,14203.0,14118.5,1.0,1.0,0.0,1355.0
gpt-5.6-luna,high,all-shuffled,3,0,1,1,0.3333333333333333,335.665,18016.0,5504.0,12730.5,12625.5,1.0,0.0,0.0,467.0
gpt-5.6-luna,high,fixed,20,8,0,0,0.0,38.7335,11718.0,8960.0,1859.5,1838.0,1.0,0.0,0.0,407.0
gpt-5.6-luna,high,jitter,20,5,1,0,0.0,33.2825,11718.0,8960.0,1453.0,1432.0,1.0,0.0,0.0,405.0
gpt-5.6-luna,medium,all-shuffled,3,0,1,0,0.0,76.39,11718.0,11008.0,3409.0,3352.5,1.0,0.0,0.0,471.0
gpt-5.6-luna,medium,fixed,20,5,0,0,0.0,30.958,11718.0,8960.0,1425.0,1387.0,1.0,0.0,0.0,408.0
gpt-5.6-luna,medium,jitter,20,6,0,0,0.0,24.816000000000003,11718.0,8960.0,1045.5,1024.0,1.0,0.0,0.0,406.0
gpt-5.6-luna,xhigh,all-shuffled,3,0,1,2,0.6666666666666666,352.077,75482.5,43904.0,18479.0,18223.5,1.0,1.0,0.0,1223.0
gpt-5.6-luna,xhigh,fixed,20,8,0,1,0.05,65.039,11718.0,7424.0,3329.5,3308.0,1.0,0.0,0.0,410.0
gpt-5.6-luna,xhigh,jitter,20,10,0,0,0.0,43.065,11718.0,8960.0,2087.5,2066.0,1.0,0.0,0.0,405.5
gpt-5.6-sol,high,all-shuffled,3,0,0,1,0.3333333333333333,451.378,282115.0,247552.0,20365.0,14381.0,1.0,0.0,0.0,727.0
gpt-5.6-sol,high,fixed,20,8,0,0,0.0,23.3355,13276.0,9984.0,731.0,710.0,1.0,0.0,0.0,404.0
gpt-5.6-sol,high,jitter,20,16,0,0,0.0,21.6845,13276.0,9984.0,744.0,723.0,1.0,0.0,0.0,405.0
gpt-5.6-sol,medium,all-shuffled,3,0,0,2,0.6666666666666666,151.205,64192.0,49152.0,6414.0,4789.0,1.0,3.0,3.0,19965.0
gpt-5.6-sol,medium,fixed,20,11,0,0,0.0,24.0285,13276.0,9984.0,818.0,796.5,1.0,0.0,0.0,405.0
gpt-5.6-sol,medium,jitter,20,16,0,0,0.0,17.762500000000003,13276.0,9984.0,493.5,471.5,1.0,0.0,0.0,405.0
gpt-5.6-sol,xhigh,all-shuffled,3,0,1,3,1.0,817.263,315736.0,263424.0,26304.5,20051.0,1.0,17.0,17.0,76136.0
gpt-5.6-sol,xhigh,fixed,20,13,0,1,0.05,26.3555,13276.0,9984.0,1097.0,1075.0,1.0,0.0,0.0,406.0
gpt-5.6-sol,xhigh,jitter,20,17,0,0,0.0,25.4265,13276.0,9984.0,1035.5,1014.5,1.0,0.0,0.0,405.5
gpt-5.6-terra,high,all-shuffled,3,0,0,0,0.0,38.706,13276.0,12032.0,1853.0,1798.0,1.0,0.0,0.0,581.0
gpt-5.6-terra,high,fixed,20,7,0,1,0.05,27.4895,13276.0,9984.0,1031.5,1010.5,1.0,0.0,0.0,407.0
gpt-5.6-terra,high,jitter,20,5,0,0,0.0,18.7725,13276.0,12032.0,624.0,603.0,1.0,0.0,0.0,405.0
gpt-5.6-terra,medium,all-shuffled,3,0,0,0,0.0,24.254,13276.0,9984.0,1017.0,978.0,1.0,0.0,0.0,519.0
gpt-5.6-terra,medium,fixed,20,3,0,0,0.0,22.3095,13276.0,9984.0,911.0,890.0,1.0,0.0,0.0,406.0
gpt-5.6-terra,medium,jitter,20,9,0,0,0.0,16.022,13276.0,12032.0,507.5,486.5,1.0,0.0,0.0,404.0
gpt-5.6-terra,xhigh,all-shuffled,3,0,0,0,0.0,71.232,13276.0,12032.0,3670.0,3624.0,1.0,0.0,0.0,549.0
gpt-5.6-terra,xhigh,fixed,20,6,0,0,0.0,39.483000000000004,13276.0,9984.0,1757.5,1737.0,1.0,0.0,0.0,405.0
gpt-5.6-terra,xhigh,jitter,20,10,0,0,0.0,32.5205,13276.0,12032.0,1486.5,1465.5,1.0,0.0,0.0,406.0
