model,reasoning,fixed_individual,jitter_individual,individual_jitter_penalty,fixed_paired,jitter_paired,paired_jitter_penalty
gpt-5.6-sol,medium,11,16,-0.25,4,6,-0.19999999999999996
gpt-5.6-sol,high,8,16,-0.4,3,6,-0.3
gpt-5.6-sol,xhigh,13,17,-0.19999999999999996,5,7,-0.19999999999999996
gpt-5.6-terra,medium,3,9,-0.30000000000000004,0,3,-0.3
gpt-5.6-terra,high,7,5,0.09999999999999998,1,1,0.0
gpt-5.6-terra,xhigh,6,10,-0.2,0,3,-0.3
gpt-5.6-luna,medium,5,6,-0.04999999999999999,1,0,0.1
gpt-5.6-luna,high,8,5,0.15000000000000002,1,2,-0.1
gpt-5.6-luna,xhigh,8,10,-0.09999999999999998,2,3,-0.09999999999999998
gpt-5.3-codex-spark,medium,0,0,0.0,0,0,0.0
gpt-5.3-codex-spark,high,0,0,0.0,0,0,0.0
gpt-5.3-codex-spark,xhigh,0,1,-0.05,0,0,0.0
