model,reasoning,seed,paired_success,individual_successes,first_signal_position,last_signal_position,adjacent_signal_pairs,mean_signal_gap,variance_signal_gap,max_signal_run,max_distractor_run
gpt-5.6-sol,medium,1,True,2,0,320,85,2.0,2.175,8,7
gpt-5.6-sol,medium,2,False,1,0,318,83,1.9875,2.27484375,8,9
gpt-5.6-sol,medium,3,True,2,0,321,81,2.00625,1.9187109375,8,7
gpt-5.6-sol,medium,4,True,2,0,321,86,2.00625,2.4687109375,8,9
gpt-5.6-sol,medium,5,False,1,1,320,71,1.99375,1.2812109375,7,6
gpt-5.6-sol,medium,6,True,2,3,320,76,1.98125,1.7683984375,9,6
gpt-5.6-sol,medium,7,True,2,1,321,78,2.0,1.7125,7,6
gpt-5.6-sol,medium,8,True,2,1,318,78,1.98125,1.8933984375,7,8
gpt-5.6-sol,medium,9,False,0,0,321,71,2.00625,1.5437109375,10,6
gpt-5.6-sol,medium,10,True,2,0,321,76,2.00625,1.9812109375,7,7
gpt-5.6-sol,medium,11,True,2,1,321,79,2.0,1.8125,9,7
gpt-5.6-sol,medium,12,True,2,8,318,80,1.9375,1.55859375,8,8
gpt-5.6-sol,medium,13,True,2,0,316,88,1.975,2.411875,10,9
gpt-5.6-sol,medium,14,False,1,2,321,81,1.99375,1.9687109375,7,8
gpt-5.6-sol,medium,15,False,0,1,320,77,1.99375,1.5562109375,6,6
gpt-5.6-sol,medium,16,True,2,11,321,82,1.9375,1.72109375,6,11
gpt-5.6-sol,medium,17,False,1,6,320,86,1.9625,2.26109375,8,8
gpt-5.6-sol,medium,18,True,2,0,319,82,1.99375,1.7937109375,6,6
gpt-5.6-sol,medium,19,True,2,1,321,83,2.0,1.725,10,7
gpt-5.6-sol,medium,20,False,0,0,321,79,2.00625,1.8812109375,8,7
gpt-5.6-terra,xhigh,1,True,2,0,320,85,2.0,2.175,8,7
gpt-5.6-terra,xhigh,2,False,0,0,318,83,1.9875,2.27484375,8,9
gpt-5.6-terra,xhigh,3,True,2,0,321,81,2.00625,1.9187109375,8,7
gpt-5.6-terra,xhigh,4,False,1,0,321,86,2.00625,2.4687109375,8,9
gpt-5.6-terra,xhigh,5,True,2,1,320,71,1.99375,1.2812109375,7,6
gpt-5.6-terra,xhigh,6,False,1,3,320,76,1.98125,1.7683984375,9,6
gpt-5.6-terra,xhigh,7,False,1,1,321,78,2.0,1.7125,7,6
gpt-5.6-terra,xhigh,8,False,1,1,318,78,1.98125,1.8933984375,7,8
gpt-5.6-terra,xhigh,9,False,0,0,321,71,2.00625,1.5437109375,10,6
gpt-5.6-terra,xhigh,10,False,1,0,321,76,2.00625,1.9812109375,7,7
gpt-5.6-terra,xhigh,11,False,0,1,321,79,2.0,1.8125,9,7
gpt-5.6-terra,xhigh,12,True,2,8,318,80,1.9375,1.55859375,8,8
gpt-5.6-terra,xhigh,13,False,0,0,316,88,1.975,2.411875,10,9
gpt-5.6-terra,xhigh,14,False,0,2,321,81,1.99375,1.9687109375,7,8
gpt-5.6-terra,xhigh,15,False,0,1,320,77,1.99375,1.5562109375,6,6
gpt-5.6-terra,xhigh,16,False,0,11,321,82,1.9375,1.72109375,6,11
gpt-5.6-terra,xhigh,17,False,0,6,320,86,1.9625,2.26109375,8,8
gpt-5.6-terra,xhigh,18,False,1,0,319,82,1.99375,1.7937109375,6,6
gpt-5.6-terra,xhigh,19,False,0,1,321,83,2.0,1.725,10,7
gpt-5.6-terra,xhigh,20,True,2,0,321,79,2.00625,1.8812109375,8,7
