stage,condition,trials,median_elapsed_seconds,median_input_tokens,median_cached_input_tokens,median_output_tokens,median_reasoning_tokens,timeouts,runner_errors
d075,hidden_a,3,43.095,10375.0,0.0,1061.0,1034.0,0,0
d075,hidden_b,3,69.854,32470.0,13824.0,2425.0,1801.0,0,0
d075,scrambled,3,170.448,45152.0,30976.0,6593.0,5559.0,0,0
d125,hidden_a,3,140.985,31557.0,17920.0,4767.0,4672.0,0,0
d125,hidden_b,3,117.445,20693.0,9984.0,4376.0,4044.0,0,0
d125,scrambled,3,181.845,31715.0,9984.0,6183.0,5775.0,0,0
d250,hidden_a,3,180.019,20836.0,7936.0,6473.0,6266.0,0,0
d250,hidden_b,3,249.086,31035.0,17920.0,8631.0,8540.0,0,0
d250,scrambled,3,202.11,10136.0,0.0,5040.0,5012.0,0,0
d500,hidden_a,3,39.102,10083.0,0.0,1472.0,1257.0,0,0
d500,hidden_b,3,13.344,10083.0,7936.0,314.0,300.0,0,0
d500,scrambled,3,17.011,10083.0,0.0,519.0,507.0,0,0
